Country/Economy,Level,Policy type,Key policy measures and targets,Year announced,Category,Source
Aruba,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022,M/HDV,CALSTART: Drive to Zero MOU
Australia,National,Legislation,Electric Car Discount excludes eligible electric cars and associated car expenses from fringe benefits tax.,2022,LDV,Government of Australia
Australia,Subnational,Objective,Australian Capital Territory : 80-90% of new car sales to be ZEVs by 2030 and all new LDVs to be ZEVs by 2035.,2022,LDV,Australian Capital Territory Government
Australia,Subnational,Objective,Victoria: Fully decarbonised transport sector by 2045.,2022,Multiple,Victoria State Government
Australia,Subnational,Objective,"Queensland: 50% of new passenger vehicle sales to be zero-emissions by 2030, moving to 100% by 2036.",2022,LDV,Queensland Government
Australia,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Australia also specifically aims for 75% of new government passenger vehicles to be low emission by 2025.",2022,"LDV, M/HDV",Zero Emissions Government Fleet Declaration
Austria,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Azerbaijan,National,Legislation,The import and sale of second and third-level electric chargers for electric vehicles are exempt from VAT.,2022,"EVSE, Taxation",Government of Azerbaijan
Azerbaijan,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Bangladesh,National,Announced target,30% of new registrations to be electric by 2030.,2022,Multiple,Government of Bangladesh
Albania,National,Proposal,"Through the national Action Plan for Energy and Climate, the Albanian government aims to install 200 to 300 charging stations by 2025 throughout the country.",2021,"EVSE, Multiple",Government of Albania
Algeria,National,Legislation,Ban on imports more than 3 years old.,2021,Multiple,Government of Algeria
Antigua and Barbuda,National,Announced target,Transition the government fleet to all-electric by 2035.,2021,Multiple,Government of Antigua and Barbuda
Argentina,National,Proposal,Ban on sale of new ICE vehicles from 2041.,2021,Multiple,Government of Argentina
Argentina,National,Proposal,2 500 jobs in battery manufacturing by 2030.,2021,Manufacturing,Government of Argentina
Australia,National,Legislation,Future Fuels Fund for the deployment of EV charging and hydrogen refuelling.,2021,EVSE,Government of Australia
Australia,Subnational,Objective,Victoria: All new public buses to be ZEV by 2025.,2021,Bus,Victoria State Government
Australia,Subnational,Objective,Victoria: 50% of LDV fleet to be ZEV by 2030.,2021,LDV,Victoria State Government
Austria,National,Objective,Necessary infrastructure for all types of ZEV road transport to be in place by no later than 2035.,2021,EVSE,Government of Austria
Austria,National,Objective,100% share of ZEVs in new heavy goods vehicle sales (under 18 tonnes) by 2030.,2021,M/HDV,Government of Austria
Austria,National,Objective,100% share of ZEVs in new heavy goods vehicle sales (above 18 tonnes) by 2035.,2021,M/HDV,Government of Austria
Austria,National,Objective,"100% share of ZEVs in new car, light commercial, and two-wheeler sales by 2030.",2021,LDV,Government of Austria
Austria,National,Objective,100% share of ZEVs in new bus sales by 2032.,2021,Bus,Government of Austria
Austria,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Argentina,Subnational,Announced target,"Buenos Aires: 30% low-emission cars in circulation by 2030, 100% by 2050.",2020,LDV,Government of the City of Buenos Aires
Argentina,Subnational,Announced target,"Buenos Aires: 50% ZEV buses by 2030, 100% by 2050.",2020,Bus,Government of the City of Buenos Aires
Australia,Subnational,Objective,"South Australia: New metropolitan taxis to be 100% EVs by 2030, and government and ride share fleets to be 100% EVs by 2030. All new passenger vehicles sold in South Australia to be fully electric by 2035.",2020,LDV,Government of South Australia
Australia,Subnational,Objective,"Australian Capital Territory : Free vehicle registration for new ZEV for two years, interest free loans and 50 new electric vehicle charging stations introduced as soon as practical.",,Multiple,Australian Capital Territory Government
Australia,Subnational,Objective,"New South Wales: Transition the state's 8 000 buses to ZEVs, starting with Greater Sydney by 2035, Outer Metropolitan regions by 2040, and Regional New South Wales by 2047.",,Bus,New South Wales Government
Brazil,National,Legislation,"National Green Mobility and Innovation Program (""MOVER""), Provisional Measure 1,205/2023 establishes new guidelines for the local automotive sector, including fleet sustainability requirements and incentives for the production of new technologies. It also outlines financial incentives and support, such as, credits and fiscal incentives (up to R$ 19.3 billion in financial credits between 2024 and 2028) and a National Fund for Industrial Development.",2024,Multiple,Government of Brazil
Cambodia,National,Announced target,"Registration of 720,000 electric two-wheelers and 20,000 three-wheelers by 2030.",2024,2/3W,Government of Cambodia
Cambodia,National,Announced target,"Registration of 30,000 electric vehicles by 2030 including 25,000 private cars and 5,000 commercial vehicles.",2024,LDV,Government of Cambodia
Bangladesh,National,Objective,40% of private cars and 10% of buses and trucks will be EVs by 2050.,2023,LDV,Government of Bangladesh
Belgium,National,Legislation,100% of the purchase value of a company BEV is deducted from corporate taxable income.,2023,"LDV, Taxation",European Commission
Brazil,National,Proposal,"Resolution no. 532/2023 from the Executive Committee of the Foreign Chamber of Commerce establishes the gradual return of import tax on electric, hybrid and plug-in hybrid vehicles.",2023,Taxation,Government of Brazil
Cabo Verde,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2023,M/HDV,CALSTART: Drive to Zero MOU
Canada,Subnational,Announced target,"Quebec: Target of 6,700 public fast-charging and 110,000 level 2 public charging stations by 2030 supported by an increased budget and amendments to building standards.",2023,EVSE,Government of Quebec
Canada,Subnational,Legislation,"British Columbia: Accelerated ZEV targets for light-duty sales of 26% by 2026, 90% by 2030 and 100% by 2035. Ahead of national ambition.",2023,LDV,Government of British Columbia
Belgium,Subnational,Legislation,"Wallonia: Progressively ban the use of older vehicles (Euro 1, 2, 3 ban delayed to 2025, Euro 4 in 2026, Euro 5 in 2028, Euro 6 in 2030), and allow for the introduction of more restrictive LEZs.",2022,Multiple,Government of Wallonia
Belgium,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022,M/HDV,CALSTART: Drive to Zero MOU
Belgium,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Bolivia,National,Objective,Annual 10% growth in the share of EVs in the Bolivian public transportation fleet.,2022,Bus,Government of Bolivia
Bosnia and Herzegovina,National,Legislation,Subsidies for the purchase of electric and hybrid cars to individuals in 2022.,2022,LDV,Government of Bosnia and Herzegovina
Brazil,National,Proposal,Senate Bill No. 403/2022 that aims to grant exemption from Import Tax for electric and hybrid vehicles.,2022,Taxation,Government of Brazil
Bulgaria,National,Objective,Build 10 000 charging stations to facilitate at least 30 000 EVs by 2026.,2022,EVSE,Government of Bulgaria
Cabo Verde,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Bangladesh,National,Legislation,"10 year tax holiday for local EV manufacturing and assembly, various incentives.",2021,"Manufacturing, Taxation",Government of Bangladesh
Belarus,National,Legislation,Cost deductions for EVSE investments from 100% in 2020 decreasing gradually to 30% in 2025.,2021,EVSE,Government of Belarus
Belarus,National,Legislation,VAT exemptions for import of EVs; VAT exemption on import of goods for EV manufacturing.,2021,"Taxation, Manufacturing",Government of Belarus
Bolivia,National,Legislation,"Tax incentives and financial incentives for the manufacturing, assembly, import, and purchase of EVs.",2021,"Manufacturing, Taxation",Government of Bolivia
Brazil,National,Proposal,Deputies Bill No. 2156/2021 that aims to provide guidelines for the National Electric Mobility Policy.,2021,Multiple,Government of Brazil
Cambodia,National,Objective,40% of cars and urban buses to be EVs by 2050.,2021,"LDV, Bus",Government of Cambodia
Cambodia,National,Objective,70% of motorcycle stock to be EVs by 2050.,2021,2/3W,Government of Cambodia
Canada,Subnational,Legislation,British Columbia: Additional provincial level rebates which can be combined with federal rebates.,2021,M/HDV,Government of British Columbia
Canada,Subnational,Legislation,"New Brunswick: Rebate towards the purchase of a BEV or PHEV with more than 50km range; lower amount for a PHEV with less than 50km range and for used vehicles, can be combined with federal incentives.",2021,LDV,Government of New Brunswick
Canada,Subnational,Legislation,"Newfoundland and Labrador: Rebate towards the purchase or lease of a BEV, lower amount for a PHEV, which can be combined with federal incentives.",2021,LDV,Government of Newfoundland and Labrador
Belgium,Subnational,Legislation,"Flanders: Tax relief for company vehicles is tied to emissions, with 0g CO2 vehicles qualifying for up to 120% relief. Electricity costs are deductible at 75%.",2020,"LDV, Taxation",Government of Flanders
Brazil,Subnational,Legislation,The city of São Paulo has mandated that new buildings prepare and plan for the charging infrastructure required for electric vehicles.,2020,EVSE,The city of São Paulo
Canada,Subnational,Announced target,"Quebec: All new public/government funded buses will be electric by 2025, and 55% of city buses and 65% of school buses by 2030.",2020,Bus,Government of Quebec
Canada,Subnational,Announced target,Quebec: 40% of taxis to be electric by 2030.,2020,LDV,Government of Quebec
Canada,Subnational,Announced target,"Quebec: 100% of government cars, SUVs, vans and minivans and 25% of its pickup trucks to be electrified by 2030.",2020,LDV,Government of Quebec
Belgium,Subnational,Announced target,Flanders: At least 5% of all trucks sales will be zero-emission or low-carbon by 2030.,2019,M/HDV,Government of Flanders
Belgium,Subnational,Announced target,"Flanders: At least 30% of new LCVs will be zero-emissions by 2030, and encouraging emission-free distribution from 2025.",2019,LDV,Government of Flanders
Belgium,Subnational,Announced target,"Flanders: All urban public transport will be HEV, BEV, or FCEV by 2025, with all buses emission free by 2035.",2019,Bus,Government of Flanders
Belgium,Subnational,Announced target,"Flanders: 50% of all new purchases of non-urban buses, and at least 5% of trucks, will be zero-emission or low-carbon by 2030.",2019,Bus,Government of Flanders
Belgium,Subnational,Announced target,"Flanders: 20% of sales to be ZEV by 2025, and 50% BEV or FCEV sales and 20% PHEV in 2030.",2019,LDV,Government of Flanders
Belgium,Subnational,Legislation,"Flanders: EVs are indefinitely exempt from both annual road and registration tax (PHEV and NG exemption ended in 2020). Tax relief via income tax of 15% also applies to the purchase of electric motorbikes, tricycles, and quadricycles.",2019,"LDV, Taxation",Government of Flanders
Belgium,Subnational,Legislation,"Wallonia and Brussels : EVs are eligible for the lowest rate of annual ownership tax, HEVs are taxed in the same way as ICEs (engine size and emissions).",,"LDV, Taxation",Government of Wallonia
Cabo Verde,National,Announced target,"50% share of EVs in urban bus sales by 2025, 75% by 2030 and 100% by 2040.",2019,Bus,Government of Cape Verde
Cabo Verde,National,Announced target,"35% share of passenger LDV sales to be EVs by 2025, 70% by 2030 and 100% by 2035.",2019,LDV,Government of Cape Verde
Cabo Verde,National,Announced target,25% share of EVs in heavy truck sales by 2030 and 100% by 2035.,2019,M/HDV,Government of Cape Verde
Cabo Verde,National,Announced target,"15% share of EVs in medium truck sales by 2025, 35% by 2030 and 100% by 2035.",2019,M/HDV,Government of Cape Verde
Cabo Verde,National,Announced target,100% EVs in government LDV stock by 2030.,2019,LDV,Government of Cape Verde
Bulgaria,National,Legislation,"Registration and annual circulation tax exemption for electric cars, motorbikes, and mopeds.",2016,"LDV, Taxation",Government of Bulgaria
Canada,Subnational,Legislation,"Nova Scotia: Rebate towards the purchase or lease of a BEV or a PHEV, which can be combined with federal incentives.",,LDV,Government of Nova Scotia
Canada,Subnational,Legislation,Prince Edward Island: Incentives towards the purchase or lease of a BEV or PHEV and voucher towards the cost of a charger installation.,,"LDV, EVSE",Government of Prince Edward Island
Canada,National,Legislation,"Auto manufacturers and importers must meet annual ZEV targets for light-duty sales of 20% by 2026, 60% by 2030 and 100% by 2035 (ZEV availability standard).",2023,LDV,Government of Canada
Chile,National,Proposal,National public charging infrastructure plan targeting charging stations along interurban routes at most every 100km apart.,2023,EVSE,Government of Chile
Chile,National,Objective,"Roadmap for promoting electromobility including near-term actions on charging, public transport, awareness and regulation.",2023,Multiple,Government of Chile
China,Subnational,Announced target,Guangdong: Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,2023,LDV,Guangdong Provincial Government
China,Subnational,Announced target,Guangxi: Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,2023,LDV,Guangxi Zhuang Autonomous Region Government
Canada,National,Legislation,"Grants towards the purchase or lease of BEV, FCEV, or PHEV trucks (iMHZEV programme).",2022,M/HDV,Government of Canada
Canada,National,Legislation,Database of charging incentives available for homes and businesses in Canada.,2022,EVSE,Government of Canada
Canada,National,Legislation,"Grants towards the purchase or lease of BEV, FCEV, or PHEV coaches (iMHZEV programme).",2022,Bus,Government of Canada
Canada,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Canada,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Canada also specifically aims for 75% of all government LDV purchases to be ZEVs or hybrid, with the objective that the LDV fleet is 100% ZEV by 2030.",2022,"LDV, M/HDV",Zero Emissions Government Fleet Declaration
Chile,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
China,Subnational,Announced target,Beijing: 2 million NEVs on the road by 2025. Proportion of new vehicle sales being new energy and clean energy-powered transport to reach around 40% by 2030 (Plan for Carbon Peaking).,2022,LDV,Beijing Municipal Government
China,Subnational,Announced target,Chongqing: Build more than 240 000 EV chargers by 2025.,2022,EVSE,Chongqing Municipal People's Government
China,Subnational,Announced target,Guizhou: Proportion of new energy and clean energy-powered operating vehicles and ships to reach around 40% by 2030 (Plan for Carbon Peaking).,2022,Multiple,Guizhou Provincial Government
China,Subnational,Announced target,Hainan: End sales of petrol or diesel vehicles by 2030; 100% NEVs in vehicle sales (Plan for Carbon Peaking).,2022,"LDV, M/HDV",Hainan Provincial Government
China,Subnational,Announced target,Inner-Mongolia: Inner Mongolia Autonomous Region aims for the proportion of new energy and clean energy-powered transport vehicles (excluding motorbikes) to reach around 40% by 2030 (Plan for Carbon Peaking).,2022,LDV,Inner Mongolia Autonomous Region Government
China,Subnational,Announced target,Jilin: Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,2022,LDV,Jilin Provincial Government
China,Subnational,Announced target,Liaoning: Proportion of new energy- and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,2022,LDV,Liaoning Provincial Government
Canada,National,Legislation,"Support public and school bus operators plan for electrification, funding 5 000 zero emission bus purchases and supporting infrastructure (Zero Emission Transit Fund).",2021,Bus,Government of Canada
Chile,National,Announced target,100% of sales of M/HDVs will be zero-emissions by 2045.,2021,M/HDV,Government of Chile
Chile,National,Legislation,"Accelerated tax depreciation of electric, hybrid, and zero emissions vehicles.",2021,Taxation,Government of Chile
Canada,Subnational,Legislation,"Quebec: Requires ZEV sales to reach 22% in 2025, 85% in 2030 and 100% in 2035, aiming for 2 million EVs by 2030.",2020,LDV,Government of Quebec
Canada,Subnational,Legislation,"Yukon: Rebate towards the purchase of a BEV or PHEV with more than 50km range, or a lower amount for a PHEV with less than 50km range, which can be combined with federal incentives.",,LDV,Government of Yukon
Canada,Subnational,Legislation,Yukon: Rebate of 25% for a BEV motorcycle.,,2/3W,Government of Yukon
Canada,Subnational,Legislation,"Yukon: Homeowners can receive grants of 50%, businesses 75%, and municipalities/first nations 90% per charger installed.",,EVSE,Government of Yukon
European Union,Supranational,Proposal,"Plans to further increase recharging point connections, including incentives towards bi-directional and smart charging.",2025,Multiple,European Commission
European Union,Supranational,Proposal,"Exemption from road tolls for zero-emission trucks and future revision of the Weight and Dimension Directive, ensuring payload parity with diesel engines.",2025,Multiple,European Commission
European Union,Supranational,Proposal,Exemption from road tolls for zero-emission trucks.,2025,Multiple,European Commission
European Union,Supranational,Proposal,Social leasing schemes to foster the adoption of zero-emissions vehicles among less advantaged consumers.,2025,Multiple,European Commission
European Union,Supranational,Proposal,"Plans to accelerate the uptake of zero-emission vehicles in corporate fleets, including measures towards an increase in zero-emission trucks.",2025,Multiple,European Commission
European Union,Supranational,Proposal,"Revision of CO2 emission standards for cars and vans to balance the risk of not meeting BEVs sale targets by 2025. The aim is to achieve compliance between 2025 and 2027; this will be assessed collectively, allowing manufacturers to offset excesses in some years with overachievements in others, while maintaining 2025 targets. The review will be based on technological developments and ensuring a socially fair transition to zero-emission mobility.",2025,Multiple,European Commission
European Union,Supranational,Legislation,Financial support of EUR 570 million towards Alternative Fuels Infrastructure Facility between 2025 and 2026.,2025,Multiple,European Commission
European Union,Supranational,Legislation,A total fund of EUR 3 billion is allocated to EV battery manufacturing.,2025,Multiple,European Commission
European Union,Supranational,Legislation,"Grants of a total EUR 350 million to be used within the years 2025-2027 across the whole EU value chain of the next generation of batteries, including recycling options.",2025,Multiple,European Commission
China,Subnational,Announced target,"Guangdong: By 2025, NEV production to reach more than 3 million, public NEV charging piles to reach more than 210 000 (A strategic action plan for the auto industry in Guangdong Province).",2024,"EVSE, Manufacturing",Guangdong Provincial Government
China,National,Legislation,"Grants for the purchase of NEVs (passenger cars), with extra benefits in case for scrapping old ICEVs (registered before 2012 and 2014, in case of gasoline and diesel, respectively) and NEVs (registered before 2018)",2024,LDV,"China, National Development and Reform Commission"
China,National,Legislation,"Trade-in grants for the purchase of commercial NEVs (including medium and heavy trucks) or vehicles with higher emission standard (above National IV), with extra benefits in case of scrapping old ICEVs running on diesel. In case of purchase of new vehicle without scrapping an old vehicle, the subsidy is only allocated to the purchase of NEVs",2024,Multiple,"China, National Development and Reform Commission"
China,Subnational,Objective,"Jilin: Increase the proportion of clean transportation, encourage companies to replace freight vehicles with NEVs and to promote the elimination of old diesel vehicles, build charging infrastructure in highway service areas, logistical hubs and hubs for freight vehicles.",2024,Multiple,Jilin Provincial Government
China,National,Objective,A set of policies to support international trade of NEVs.,2024,Manufacturing,"China, Ministry of Commerce"
Colombia,National,Legislation,"Announcement of the creation of the Technological Advancement Fund. In its first year of operation, backed by COP 12 billion (Colombian pesos), it will cover the price difference between a petrol vehicle (COP 80 million), and a zero-emission vehicle (~COP 110 million).",2024,LDV,Government of Colombia
Colombia,Multi-national,Objective,"Signatory to COP26 ZEV Declaration, committing to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.",2024,LDV,Accelerating to Zero Coalition
Costa Rica,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2024,LDV,Accelerating to Zero Coalition
Czechia,Subnational,Legislation,"Purchase incentives for ZEVs & discounted loans on BEVs, FCEVs, and charging infrastructure",2024,Multiple,Government of the Czech Republic
Ethiopia,National,Objective,A ban on the import of non-EVs,2024,Multiple,Government of Ethiopia
Ethiopia,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2024,M/HDV,CALSTART: Drive to Zero MOU
Ethiopia,National,Objective,500 000 EVs in the coming 10 years,2024,Multiple,Minister of Transport and Logistics
European Union,Supranational,Proposal,"CO2 emission standards: Fleet average reductions of 45% by 2030, 65% by 2035 and 90% by 2040. All new city buses to be ZEV by 2035.",2024,"M/HDV, Bus",European Commission
China,National,Objective,"NEV sales to account for 45% of new vehicle sales by 2025, and 60% by 2030.",2023,Multiple,"China Society of Automotive Engineers, China Automotive Technology and Research Centre"
China,National,Objective,"Establish a high-quality charging infrastructure system by 2030, ensuring city-level full coverage, highway-level linear coverage, and spotted-coverage of rural areas.",2023,EVSE,China State Council
Colombia,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2023,M/HDV,CALSTART: Drive to Zero MOU
Croatia,National,Proposal,Grants available for alternatively fuelled trucks.,2023,M/HDV,Government of Croatia
Cyprus,National,Legislation,"Grants towards the purchase of new or used EVs, can be combined with a scrappage scheme, higher rates apply to taxis, disabled persons, ZEVs, and large family cars.",2023,LDV,Government of Cyprus
Cyprus,National,Legislation,EUR 400 - 4 000 towards a new electric two/three-wheeler.,2023,2/3W,Government of Cyprus
Cyprus,National,Legislation,Grants towards the purchase of a new ZEV M2 class bus.,2023,Bus,Government of Cyprus
Denmark,National,Legislation,Tax reimbursement for BEV and a reduced rate for PHEVs when purchased as company cars from 2023-2026 and tax-free charging at work.,2023,"LDV, Taxation",Government of Denmark
Denmark,National,Legislation,"Reduced registration taxes for zero- and low-emission cars, increasing gradually from 2026 to 2035. Typically, 60% discount for BEVs, and 35-50% discount for PHEVs. Aiming to reach the same registration tax as is seen on ICE.",2023,"LDV, Taxation",Government of Denmark
Denmark,National,Legislation,Additional financing available for charging stations for housing associations.,2023,EVSE,Government of Denmark
European Union,Supranational,Proposal,"The EU Net Zero Industry Act aims to scale up manufacturing of clean technologies in the European Union, including batteries.",2023,Manufacturing,European Commission
European Union,Supranational,Legislation,"The EU Battery Regulation aims to create a circular economy for the batteries sector by targeting all stages of the life cycle of batteries, from design to waste treatment.",2023,Manufacturing,European Commission
European Union,Supranational,Legislation,"Alternative Fuels Infrastructure Regulation: with respect to electric vehicle charging infrastructure, the regulation sets targets to ensure minimum coverage of publicly accessible recharging points for both light- and heavy-duty vehicles. Coverage is ensured on the basis of maximum distance between recharging pools, minimum power output per charging pool and individual charger power output.",2023,"EVSE, Multiple",European Parliament
Chinese Taipei,,Objective,"EVs to make up 30% of private passenger car sales by 2030, 60% by 2035, and 100% by 2040.",2022,LDV,Government of Chinese Taipei
Chinese Taipei,,Objective,35% of the urban bus fleet to be electric by 2025; 100% by 2030.,2022,Bus,Government of Chinese Taipei
Chinese Taipei,,Objective,All new passenger cars and 2/3W to be zero-emission by 2040,2022,"LDV, 2/3W","National Development Council, Chinese Taipei"
Chinese Taipei,,Objective,"EVs to make up 35% of scooter sales by 2030, 70% by 2035, and 100% by 2040.",2022,2/3W,Government of Chinese Taipei
Croatia,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022,M/HDV,CALSTART: Drive to Zero MOU
Croatia,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Curaçao,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022,M/HDV,CALSTART: Drive to Zero MOU
Cyprus,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Denmark,National,Legislation,Road tax for trucks will be based on CO2 emissions from 2025.,2022,"M/HDV, Taxation",Government of Denmark
Denmark,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Dominican Republic,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
Dominican Republic,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022,M/HDV,CALSTART: Drive to Zero MOU
El Salvador,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Ethiopia,National,Legislation,"EVs are not subject to import duties if locally assembled, reduced rates apply for partially and fully assembled imports. They are also exempt from VAT, surtax, and excise tax.",2022,Taxation,Government of Ethiopia
European Union,Supranational,Proposal,"Euro 7 Regulations (provisional agreement) combine LDV and HDV regulations into one act, seeking a 35% and 13% reduction of nitrogen oxides (NOx) and tailpipe emissions, respectively, from LDVs, and 56% and 39% from HDVs relative to Euro 6/VI. Introduces minimum durability standards for LDV batteries of 80% performance by year 5 (or 100 000 km), and 70% performance between years 5 and 8 (or 160 000 km), and also regulates emissions from tyres and brakes for the first time.",2022,"LDV, M/HDV",European Commission
European Union,Supranational,Proposal,"Critical Raw Materials Act aims to reduce dependency on external suppliers of critical raw materials, including those needed to manufacture batteries.",2022,Manufacturing,European Commission
